Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
cardiac muscle contraction (GO:0060048)	8/34	0.000671305135319412	0.0120460242421502	8	0.235294117647059	KCNH2;GSN;TPM1;CASQ2;DMD;SCN4B;SLC8A1;SCN2B
epithelial tube morphogenesis (GO:0060562)	8/34	0.000671305135319412	0.0120460242421502	8	0.235294117647059	ACVRL1;MEF2C;SLIT2;PKD2;PKD1;RASIP1;GLI2;RHOB
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	11/60	0.00070222574709283	0.0122070520022498	11	0.183333333333333	ROBO3;ROBO4;PALLD;AMIGO2;NPTN;PECAM1;PTPRM;VSTM2L;CDH13;NEXN;PKD1
positive regulation of actin filament bundle assembly (GO:0032233)	10/51	0.000702571065808527	0.0122070520022498	10	0.196078431372549	NRP1;SFRP1;ARHGEF15;MYOC;SYNPO2;TPM1;APOA1;CCN2;SYNPO;FERMT2
axon extension involved in axon guidance (GO:0048846)	4/8	0.000705591652799818	0.0122070520022498	4	0.5	NRP1;NRP2;SLIT3;SLIT2
integrin activation (GO:0033622)	4/8	0.000705591652799818	0.0122070520022498	4	0.5	COL16A1;CXCL12;FN1;FERMT2
neuron projection extension involved in neuron projection guidance (GO:1902284)	4/8	0.000705591652799818	0.0122070520022498	4	0.5	NRP1;NRP2;SLIT3;SLIT2
pyrimidine nucleobase catabolic process (GO:0006208)	4/8	0.000705591652799818	0.0122070520022498	4	0.5	DPYSL2;DPYD;DPYSL3;CRMP1
vascular associated smooth muscle cell differentiation (GO:0035886)	4/8	0.000705591652799818	0.0122070520022498	4	0.5	EFEMP2;RAMP2;GATA6;ENG
vascular associated smooth muscle contraction (GO:0014829)	4/8	0.000705591652799818	0.0122070520022498	4	0.5	ACTA2;EDNRA;EDNRB;SLC8A1
transforming growth factor beta receptor signaling pathway (GO:0007179)	14/89	0.000710462467107664	0.0122364473129525	14	0.157303370786517	ACVRL1;JUN;SMAD3;APOA1;LTBP2;FOS;LRRC32;TGFBR2;TGFBR3;CLDN5;ZYX;FMOD;FERMT2;ENG
camera-type eye development (GO:0043010)	7/27	0.000779718883724199	0.0132287946357386	7	0.259259259259259	EFEMP1;WT1;CYP1B1;FOXL2;CACNA1C;NES;FBN1
positive regulation of nitric oxide biosynthetic process (GO:0045429)	7/27	0.000779718883724199	0.0132287946357386	7	0.259259259259259	SMAD3;INSR;HBB;PKD2;KLF4;CLU;KLF2
myofibril assembly (GO:0030239)	9/43	0.000785110900266362	0.0132287946357386	9	0.209302325581395	PDGFRB;TMOD1;PDGFRA;CSRP1;TMOD2;TPM1;TNNT3;LMOD1;PGM5
regulation of cell-substrate adhesion (GO:0010810)	9/43	0.000785110900266362	0.0132287946357386	9	0.209302325581395	BST1;ECM2;FZD4;FZD7;PDPN;MYADM;NDNF;NPNT;CORO2B
receptor-mediated endocytosis (GO:0006898)	19/143	0.000787202685203334	0.0132287946357386	19	0.132867132867133	COLEC12;NLGN3;RAMP2;CALCRL;LRP1;CAV2;CAV1;INSR;HBB;APOA1;HSPG2;DAB2;RAB31;MRC1;MASP1;SCARF1;RAMP1;PDLIM7;SNCA
embryonic digestive tract development (GO:0048566)	6/20	0.000802368570441377	0.0132287946357386	6	0.3	PDGFRA;RARRES2;RBPMS2;TCF21;GLI3;GLI2
energy reserve metabolic process (GO:0006112)	6/20	0.000802368570441377	0.0132287946357386	6	0.3	PID1;PPP1R3C;GFPT2;MYC;LEPR;PYGM
regulation of fibroblast growth factor receptor signaling pathway (GO:0040036)	6/20	0.000802368570441377	0.0132287946357386	6	0.3	SMOC2;NPTN;SPRY1;FGF2;THBS1;SULF2
regulation of smooth muscle cell migration (GO:0014910)	6/20	0.000802368570441377	0.0132287946357386	6	0.3	PDGFRB;NRP1;IGFBP5;LRP1;CCN4;SLIT2
regulation of T cell migration (GO:2000404)	6/20	0.000802368570441377	0.0132287946357386	6	0.3	RIPOR2;CXCL12;LRCH1;CCL21;APOD;CD200
muscle cell differentiation (GO:0042692)	8/35	0.000825572047011613	0.0135534338611524	8	0.228571428571429	POPDC2;MEF2C;MYOCD;TMEM204;GATA6;SPEG;DMD;SYNE1
gland development (GO:0048732)	12/71	0.000873494345448983	0.014279411799755	12	0.169014084507042	TGFBR3;CITED2;WT1;HAND2;CAV1;TCF21;HOXD3;PKD2;TBX3;GLI2;DKK3;WNT4
cGMP-mediated signaling (GO:0019934)	5/14	0.00092014006162106	0.0146690097427027	5	0.357142857142857	GUCY1B1;PDE2A;HTR2B;IRAG1;AQP1
negative regulation of cell activation (GO:0050866)	5/14	0.00092014006162106	0.0146690097427027	5	0.357142857142857	PDGFRA;THBD;C1QTNF1;EMILIN1;CD200
positive regulation of cardiac muscle cell proliferation (GO:0060045)	5/14	0.00092014006162106	0.0146690097427027	5	0.357142857142857	TGFBR3;MEF2C;ZFPM2;FGF2;TBX2
positive regulation of glycoprotein biosynthetic process (GO:0010560)	5/14	0.00092014006162106	0.0146690097427027	5	0.357142857142857	IL33;CCL21;CCL19;SLC51B;RAMP1
positive regulation of macrophage chemotaxis (GO:0010759)	5/14	0.00092014006162106	0.0146690097427027	5	0.357142857142857	IL34;RARRES2;THBS1;CMKLR1;MAPK3
response to chemokine (GO:1990868)	5/14	0.00092014006162106	0.0146690097427027	5	0.357142857142857	RIPOR2;CXCL12;LRCH1;CCL21;DUSP1
positive regulation of potassium ion transmembrane transport (GO:1901381)	9/44	0.000935863194451772	0.0147973778860448	9	0.204545454545455	KCNH2;GABBR1;KCNMB1;KCNMA1;FLNA;ANK2;ANO6;KCNN3;ATP1B2
regulation of endothelial cell apoptotic process (GO:2000351)	9/44	0.000935863194451772	0.0147973778860448	9	0.204545454545455	CD40;RAMP2;ECSCR;KDR;NDNF;ANO6;TEK;GAS6;THBS1
heart morphogenesis (GO:0003007)	10/53	0.000963014247781529	0.0151645263997597	10	0.188679245283019	ACVRL1;TGFBR3;OLFM1;HEYL;INSR;DLC1;HTR2B;TBX3;ENG;TBX2
positive regulation of nitric oxide metabolic process (GO:1904407)	7/28	0.000987037791179495	0.0152931397524919	7	0.25	SMAD3;INSR;HBB;PKD2;KLF4;CLU;KLF2
regulation of muscle contraction (GO:0006937)	7/28	0.000987037791179495	0.0152931397524919	7	0.25	CNN1;CAV1;TPM1;TNNT3;ANXA6;PPP1R12B;MYL9
response to ketone (GO:1901654)	7/28	0.000987037791179495	0.0152931397524919	7	0.25	TGFBR3;CCL21;CAV1;SLIT3;CCL19;SLIT2;THBS1
ventricular septum morphogenesis (GO:0060412)	7/28	0.000987037791179495	0.0152931397524919	7	0.25	TGFBR3;HEYL;CITED2;SLIT3;SLIT2;ZFPM2;TGFBR2
positive regulation of cytoskeleton organization (GO:0051495)	13/82	0.0010091088759327	0.0155725681733934	13	0.158536585365854	NRP1;CCL21;SYNPO2;LMOD1;CDC42EP5;FES;CFL2;CDC42EP4;CDC42EP3;CDC42EP1;TEK;SYNPO;NES
calcium ion transport into cytosol (GO:0060402)	6/21	0.0010674943055616	0.0162782333235441	6	0.285714285714286	JPH4;JPH2;CACNA2D1;ATP2B4;CACNA1C;SLC8A1
regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)	6/21	0.0010674943055616	0.0162782333235441	6	0.285714285714286	CASQ2;ANK2;DMD;CACNA1C;CLIC2;SLC8A1
response to glucagon (GO:0033762)	6/21	0.0010674943055616	0.0162782333235441	6	0.285714285714286	ADCY9;PRKAR1A;PRKAR2B;ADCY4;ADCY8;ADCY5
cellular response to reactive oxygen species (GO:0034614)	11/63	0.00107294140516945	0.0162968816580462	11	0.174603174603175	PDGFRA;JUN;TPM1;CYP1B1;FOS;PKD2;PDK2;AQP1;MAP3K5;RHOB;MAPK3
positive regulation of cytosolic calcium ion concentration (GO:0007204)	19/147	0.0011023597156423	0.0166780540507765	19	0.129251700680272	CX3CR1;PDGFRA;PTGFR;CACNA2D1;CAV1;PTGER2;PTGER3;CACNA1C;TACR1;ADCY8;SLC8A1;ADCY5;JPH4;EDNRA;JPH2;C1QTNF1;LPAR6;NPTN;CMKLR1
positive regulation of leukocyte chemotaxis (GO:0002690)	10/54	0.00112017743886262	0.0168814240591093	10	0.185185185185185	CXCL12;IL34;RARRES2;VEGFC;ANO6;VEGFD;GAS6;THBS1;CMKLR1;MAPK3
regulation of Rho protein signal transduction (GO:0035023)	12/73	0.00112519060524394	0.0168909935993429	12	0.164383561643836	KANK2;NRP1;RIPOR2;STARD13;MYOC;LPAR6;HEG1;STARD8;DLC1;APOA1;ARRB1;RASIP1
nervous system development (GO:0007399)	43/447	0.00120438009294962	0.0178148565420072	43	0.0961968680089485	NLGN3;GPM6A;STMN3;CRMP1;NRXN2;LDB2;PKD2;FGF2;PKD1;NRGN;EDNRB;ADGRA2;DPYSL2;PRX;NDP;MBNL1;MEF2C;EGR2;RBFOX2;GSN;ZBTB16;TMOD2;FN1;PCDHB15;CRIM1;GFRA1;NGF;ECRG4;TBX3;ZEB2;NFASC;AXL;FEZ1;ALDH1A2;NEURL1;PMP22;PCDHB5;DCHS1;PCDHB4;NES;NBL1;SHANK3;ITM2B
actin-mediated cell contraction (GO:0070252)	4/9	0.00121060326721983	0.0178148565420072	4	0.444444444444444	GSN;PDPN;EPDR1;PARVA
negative regulation of nitric oxide biosynthetic process (GO:0045019)	4/9	0.00121060326721983	0.0178148565420072	4	0.444444444444444	PTGIS;CAV1;ATP2B4;CD34
negative regulation of nitric oxide metabolic process (GO:1904406)	4/9	0.00121060326721983	0.0178148565420072	4	0.444444444444444	PTGIS;CAV1;ATP2B4;CD34
regulation of endothelial cell differentiation (GO:0045601)	4/9	0.00121060326721983	0.0178148565420072	4	0.444444444444444	BTG1;ZEB1;ATOH8;APOLD1
negative regulation of endothelial cell proliferation (GO:0001937)	8/37	0.00121905705730687	0.0178148565420072	8	0.216216216216216	NGFR;MEF2C;CAV2;CAV1;ATOH8;PTPRM;NR2F2;THBS1
skeletal muscle tissue development (GO:0007519)	8/37	0.00121905705730687	0.0178148565420072	8	0.216216216216216	POPDC2;SVIL;EGR2;MEF2C;CAV2;CAV1;TCF21;FOXL2
negative regulation of growth (GO:0045926)	17/126	0.00122422931018563	0.0178229308630044	17	0.134920634920635	TSPYL2;ACVRL1;SMAD3;BTG1;CDKN1B;NPR1;FHL1;SMARCA2;RERG;SFRP1;WT1;ENPP1;DACT3;SLIT3;APBB1;SLIT2;HSPA1A
regulation of kinase activity (GO:0043549)	14/94	0.00123285323176492	0.017881006647177	14	0.148936170212766	EPHB6;PDGFRB;TSPYL2;PDGFRA;CDKN1B;FLT4;INSR;TIE1;IRS2;LDB2;AXL;KDR;TEK;DDR2
regulation of stress fiber assembly (GO:0051492)	12/74	0.00127197937829352	0.018379387421185	12	0.162162162162162	NRP1;SFRP1;ARHGEF15;MYOC;DLC1;TPM1;APOA1;CCN2;ARHGAP6;PHLDB2;CGNL1;FERMT2
regulation of extracellular matrix organization (GO:1903053)	5/15	0.00131330682186713	0.0189057377565799	5	0.333333333333333	EFEMP2;LRP1;TIE1;AEBP1;DDR2
regulation of cardiac muscle cell membrane repolarization (GO:0099623)	6/22	0.00139495490697341	0.0200064536472246	6	0.272727272727273	KCNH2;KCNE4;CACNA2D1;FLNA;ANK2;SCN4B
positive regulation of protein serine/threonine kinase activity (GO:0071902)	15/106	0.00142947571835167	0.0204183126452495	15	0.141509433962264	PDGFRB;CD40;DIRAS1;LRRK2;IL34;HTR2B;ATP2B4;PKD2;FGF2;PKD1;SLC8A2;CCND2;PDGFD;FERMT2;SNCA
integrin-mediated signaling pathway (GO:0007229)	12/75	0.0014342567980463	0.0204183126452495	12	0.16	NRP1;DAB2;COL16A1;DST;ADAMTS1;ITGB3;ITGA11;FN1;ZYX;APOA1;PLPP3;FERMT2
positive regulation of potassium ion transport (GO:0043268)	8/38	0.00146513244448151	0.0207050585011344	8	0.210526315789474	KCNH2;GABBR1;KCNMB1;FHL1;KCNMA1;FLNA;ANK2;KCNN3
