Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Neuroblastoma	99/1698	0.00204452418715073	0.0367181162012117	99	0.0583038869257951	TFRC;WWC1;ENO1;PNP;PTTG1;CHEK2;STMN1;CHEK1;PHLDA2;TMSB10;MYCN;CCNE1;SCNN1A;PGP;XPR1;CDCA2;SHMT2;CRABP1;TGFA;ITPR3;PKMYT1;TRPM2;CCNB1;LDHA;STC2;NACC1;PMAIP1;PROM1;SLC19A1;CHKA;UBE2C;PLK1;HMGA1;CDC6;MANF;TPX2;VANGL2;SLC6A8;CDK5;GNAS;CDK1;SDC1;PSMG1;CALR;TCF3;CD24;MXD3;EZH2;SLC25A1;TOP2A;MCM7;SLC2A1;SIX1;ADM;FOXM1;HK2;CHAF1A;MDK;CA2;PSD4;ENC1;DNMT3B;MYBL2;KIF1A;DLGAP5;COX8A;ABCC3;ABCC1;TPI1;NAV2;MMP9;NME1;GPRC5A;TMSB15A;BIRC5;RHOV;GAPDH;INA;DTYMK;PCNA;AURKB;AURKA;MUC1;ERBB3;SPP1;E2F1;E2F2;E2F3;MSX1;NQO1;EGLN3;MARCKSL1;CDKN2A;GSR;HSPE1;CENPE;P4HB;CDKN3;NECTIN1
Refractory cancer	17/177	0.00205801549506865	0.0367301270132345	17	0.096045197740113	ABCC1;MARCKSL1;GGH;SIX1;KIF22;FOXM1;TYMS;HK2;AURKB;AURKA;HSD11B2;CDK5;ERBB3;STMN1;SPP1;BIRC5;EZH2
Intrahepatic Cholangiocarcinoma	17/177	0.00205801549506865	0.0367301270132345	17	0.096045197740113	RNF43;DNMT1;CDKN2A;IDH1;IDH2;MMP9;RAD51AP1;SLC7A5;CLDN4;MUC1;RAD51;CDH1;GNAS;SPP1;SDC1;F2RL1;S100A11
PACHYONYCHIA CONGENITA 3	14/133	0.00212571676083961	0.037820594170342	14	0.105263157894737	DNMT1;TFRC;PLK1;TACSTD2;ENO1;MMP9;TM7SF2;SLC5A6;CCNA2;PNP;MDK;PSAT1;NSD2;SPP1
Neuroendocrine Tumors	22/257	0.00221371175592532	0.0392642558814122	22	0.0856031128404669	DNMT1;CDKN2A;CRABP1;HMGA1;TGFA;GGH;MST1R;KIF11;MKI67;TYMS;FOXM1;TMPRSS13;SLC7A5;CLDN4;MUC1;MYCN;PAX8;CCNE1;STMN1;GNAS;PSMG1;CALR
Carcinoma of urinary bladder, superficial	7/43	0.00246578246975684	0.0432002072453729	7	0.162790697674419	NQO1;CEACAM1;CDH1;CDKN2A;BIRC5;S100A11;EZH2
Tooth Abnormalities	7/43	0.00246578246975684	0.0432002072453729	7	0.162790697674419	PORCN;CA2;KDF1;LRP4;MSX1;DHCR7;NECTIN1
Non-small cell lung cancer metastatic	7/43	0.00246578246975684	0.0432002072453729	7	0.162790697674419	PAX8;EPCAM;CDKN2A;SPP1;FOXM1;TYMS;MMP9
Primary Carcinoma	7/43	0.00246578246975684	0.0432002072453729	7	0.162790697674419	MMP11;GPRC5A;CDKN2A;APOC1;LPCAT1;NME1;EZH2
Head and Neck Neoplasms	12/107	0.00253865917369967	0.0443413975796506	12	0.11214953271028	ABCC1;RRM2;RAD51;S100A2;ERBB3;GNAS;TGFA;PRAME;MKI67;TYMS;APOBEC3B;NME1
Dandy-Walker Syndrome	10/80	0.00255212718490197	0.044423809507692	10	0.125	EBP;B4GALT1;PSAT1;ZIC1;POMK;BUB1B;DHCR7;TRIP13;BUB1;SMARCA4
Transitional cell carcinoma in situ	3/7	0.00257540348817845	0.044423809507692	3	0.428571428571429	CEACAM1;RRM2;CDKN2A
Combined D-2- and L-2-hydroxyglutaric aciduria	3/7	0.00257540348817845	0.044423809507692	3	0.428571428571429	SLC25A1;IDH1;IDH2
MOSAIC VARIEGATED ANEUPLOIDY SYNDROME	3/7	0.00257540348817845	0.044423809507692	3	0.428571428571429	BUB1B;TRIP13;BUB1
Pigmented lesions	4/14	0.00258297801921436	0.044423809507692	4	0.285714285714286	CDKN2A;SLC2A1;TGFA;BIRC5
Lymphoma, Diffuse	8/55	0.00258990266635873	0.044423809507692	8	0.145454545454545	TFRC;CHEK2;MT1F;MT1G;RAD54L;MT1H;TYMS;SMARCA4
Dwarfism	23/277	0.00262845518665268	0.0449505067592036	23	0.0830324909747292	PLK4;GINS1;CDT1;SLC26A2;CKAP2L;SLC52A2;IDH2;PYCR1;HMGB3;CDC6;ASRGL1;HAPLN1;TRAIP;ORC6;CDC45;ORC1;POLD1;GNAS;POC1A;MCM4;ALDH18A1;CDKN3;MCM2
Sporadic Burkitt's lymphoma	5/23	0.00278858524588463	0.0475138389061536	5	0.217391304347826	NQO1;MYCN;CDKN2A;E2F1;TCF3
Ectopic Tissue	6/33	0.00280322526623842	0.0475138389061536	6	0.181818181818182	ASPM;STIL;KIF14;WDR62;KNL1;MFSD2A
Hypoplasia of scrotum	6/33	0.00280322526623842	0.0475138389061536	6	0.181818181818182	ORC6;FRAS1;PLOD1;DHCR7;IRF6;NECTIN1
Transitional cell carcinoma of bladder	16/167	0.00281462630641899	0.0475663543052342	16	0.0958083832335329	PCNA;CDKN2A;IDH1;BUB1B;TNFRSF10B;MMP9;NME1;ERBB3;CDH1;PBK;SDC1;CA9;PRSS8;CEP55;EZH2;MCM2
Blue sclera	7/44	0.0028233170562959	0.0475728923985859	7	0.159090909090909	SLC26A2;HGD;PYCR1;ALPL;PLOD1;ESCO2;P4HB
Diarrhea	26/329	0.002850373254038	0.0478879424410079	26	0.0790273556231003	TOP2A;JPT1;PIGR;FAAH;SLC26A2;SPINT2;TYMS;OPLAH;SAT1;RECQL4;EPCAM;UCP2;DNMT3B;SLC39A4;CDT1;KRT8;ALG3;NME1;SCNN1G;MYO5B;FGF19;HMBS;SCNN1A;GNAS;F2RL1;TCF3
Cirrhosis	32/433	0.00289965254224625	0.0485734193407273	32	0.0739030023094688	FBN2;CSTB;DNMT1;STEAP3;PCNA;TGFA;ENO1;AURKB;TM7SF2;BCL2L12;CDH1;PPP1R13L;DNMT3B;COX8A;ABCC3;HES6;MSX2;CDKN2A;GOLM1;GDF15;MBOAT7;KRT8;MMP9;CCNA1;FGF19;HMBS;CKS2;DNA2;CALR;GAPDH;IDO1;MCM2
Neoplasm Invasiveness	17/183	0.00292225329422206	0.0488092977335225	17	0.092896174863388	CSTB;DNMT1;CDKN2A;LEF1;ELP3;ENO1;HOXB13;MT3;MMP9;NME1;PKM;CDH1;CALR;ANGPTL4;CD24;TKT;S100A11
