Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
mitotic DNA integrity checkpoint signaling (GO:0044774)	5/13	0.000153649231929598	0.0069618250579932	5	0.384615384615385	ORC1;CHEK2;CDC6;CLSPN;TICRR
G2/M transition of mitotic cell cycle (GO:0000086)	16/130	0.000183925947596503	0.00821791351969374	16	0.123076923076923	PLK4;PLK1;CDC25C;PKMYT1;FOXM1;TUBG1;CDC25A;AURKA;CCNA2;CCNB2;CCNB1;MELK;CHEK2;CDK1;NEK2;FBXL6
cell cycle G2/M phase transition (GO:0044839)	16/131	0.00020116075986276	0.00873113295051201	16	0.122137404580153	PLK4;PLK1;CDC25C;PKMYT1;FOXM1;TUBG1;CDC25A;AURKA;CCNA2;CCNB2;CCNB1;MELK;CHEK2;CDK1;NEK2;FBXL6
establishment of mitotic spindle localization (GO:0040001)	7/29	0.000203554545007274	0.00873113295051201	7	0.241379310344828	ESPL1;SAPCD2;PLK1;CENPA;MISP;NDC80;MAD2L1
glycolytic process (GO:0006096)	7/29	0.000203554545007274	0.00873113295051201	7	0.241379310344828	GPI;LDHA;TPI1;PKM;ENO1;GAPDH;HK2
regulation of ubiquitin protein ligase activity (GO:1904666)	6/21	0.000215124325311203	0.00908489607462837	6	0.285714285714286	CDC20;MAD2L2;UBE2C;UBE2S;PLK1;MAD2L1
meiotic sister chromatid cohesion (GO:0051177)	4/8	0.000223098162852235	0.00908489607462837	4	0.5	SGO1;BUB1B;BUB1;REC8
mitotic spindle elongation (GO:0000022)	4/8	0.000223098162852235	0.00908489607462837	4	0.5	RACGAP1;KIF4A;KIF23;AURKB
mitotic spindle midzone assembly (GO:0051256)	4/8	0.000223098162852235	0.00908489607462837	4	0.5	RACGAP1;KIF4A;KIF23;AURKB
nuclear membrane disassembly (GO:0051081)	5/14	0.000230398416539634	0.00915051488898769	5	0.357142857142857	CCNB2;CCNB1;NEK6;PLK1;CDK1
protein localization to kinetochore (GO:0034501)	5/14	0.000230398416539634	0.00915051488898769	5	0.357142857142857	RCC2;CDK1;TTK;KNL1;AURKB
